source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes
trashnet,ml/data/raw/trashnet/trash/trash1.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash10.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash100.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash101.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash102.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash103.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash104.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash105.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash106.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash107.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash108.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash109.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash11.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash110.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash111.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash112.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash113.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash114.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash115.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash116.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash117.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash118.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash119.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash12.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash120.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash121.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash122.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash123.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash124.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash125.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash126.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash127.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash128.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash129.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
trashnet,ml/data/raw/trashnet/trash/trash13.jpg,trash,excluded,exclude,false,Excluded because trash/residual is mixed and confusing
