source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes
trashnet,ml/data/raw/trashnet/cardboard/cardboard1.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard10.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard100.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard101.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard102.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard103.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard104.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard105.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard106.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard107.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard108.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard109.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard11.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard110.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard111.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard112.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard113.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard114.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard115.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard116.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard117.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard118.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard119.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard12.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard120.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard121.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard122.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard123.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard124.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard125.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard126.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard127.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard128.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard129.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard13.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard130.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard131.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard132.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard133.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard134.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard135.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard136.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard137.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard138.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard139.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard14.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard140.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard141.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard142.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard143.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard144.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard145.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard146.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard147.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard148.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard149.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard15.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard150.jpg,cardboard,cardboard,known,true,Known 5-class label
trashnet,ml/data/raw/trashnet/cardboard/cardboard151.jpg,cardboard,cardboard,known,true,Known 5-class label
