source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes,split,active_learning_stage,review_id,human_observation,reviewed_label,reviewed_action,reviewer_notes
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_724.jpg,plastic,plastic,known,true,Known 5-class label,known_train,,,,,,
trashnet,ml/data/raw/trashnet/glass/glass384.jpg,glass,glass,known,true,Known 5-class label,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Metal/Metal_304.jpg,metal,metal,known,true,Known 5-class label if present,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_973.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/paper/paper_557.jpg,paper,paper,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/paper/paper_488.jpg,paper,paper,known,true,Known 5-class label,known_train,,,,,,
trashnet,ml/data/raw/trashnet/glass/glass92.jpg,glass,glass,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_187.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_274.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train,,,,,,
trashnet,ml/data/raw/trashnet/plastic/plastic360.jpg,plastic,plastic,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_593.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Metal/Metal_713.jpg,metal,metal,known,true,Known 5-class label if present,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Paper/Paper_174.jpg,paper,paper,known,true,Known 5-class label if present,known_train,,,,,,
trashnet,ml/data/raw/trashnet/paper/paper353.jpg,paper,paper,known,true,Known 5-class label,known_train,,,,,,
trashnet,ml/data/raw/trashnet/metal/metal200.jpg,metal,metal,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/metal/metal_817.jpg,metal,metal,known,true,Known 5-class label,known_train,,,,,,
trashnet,ml/data/raw/trashnet/plastic/plastic376.jpg,plastic,plastic,known,true,Known 5-class label,known_train,,,,,,
trashnet,ml/data/raw/trashnet/cardboard/cardboard43.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Metal/Metal_454.jpg,metal,metal,known,true,Known 5-class label if present,known_train,,,,,,
trashnet,ml/data/raw/trashnet/cardboard/cardboard165.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1194.jpg,glass,glass,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_774.jpg,plastic,plastic,known,true,Known 5-class label,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Metal/Metal_617.jpg,metal,metal,known,true,Known 5-class label if present,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Paper/Paper_405.jpg,paper,paper,known,true,Known 5-class label if present,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_881.jpg,plastic,plastic,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/paper/paper_525.jpg,paper,paper,known,true,Known 5-class label,known_train,,,,,,
realwaste,ml/data/raw/realwaste/Metal/Metal_693.jpg,metal,metal,known,true,Known 5-class label if present,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_4.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/glass/glass_639.jpg,glass,glass,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/glass/glass_486.jpg,glass,glass,known,true,Known 5-class label,known_train,,,,,,
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1145.jpg,paper,paper,known,true,Known 5-class label,known_train,,,,,,
