source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_1.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_10.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_100.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_101.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_102.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_103.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_104.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_105.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_106.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_107.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_108.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_109.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_11.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_110.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_111.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_112.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_113.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_114.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_115.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
