sample_id,source_dataset,source_split,image_path,original_label,fine_label,coarse_label,is_known,usage,license_notes,mapping_role,mapping_notes
realwaste_cardboard_000001,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_1.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000003,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_100.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000004,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_101.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000006,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_103.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000008,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_105.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000009,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_106.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000010,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_107.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000012,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_109.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000013,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_11.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000014,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_110.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000015,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_111.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000016,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_112.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000017,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_113.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000019,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_115.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000020,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_116.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000021,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_117.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000022,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_118.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000024,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_12.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000026,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_121.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
