sample_id,source_dataset,source_split,image_path,original_label,fine_label,coarse_label,is_known,usage,license_notes
trashnet_000001,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard1.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000003,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard100.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000004,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard101.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000006,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard103.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000007,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard104.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000008,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard105.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000010,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard107.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000011,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard108.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000012,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard109.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000013,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard11.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000016,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard112.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000017,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard113.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
