sample_id,source_dataset,source_split,image_path,original_label,fine_label,coarse_label,is_known,usage,license_notes,mapping_role,mapping_notes
realwaste_cardboard_000001,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_1.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000002,realwaste,test,ml/data/raw/realwaste/Cardboard/Cardboard_10.jpg,Cardboard,paper_cardboard,recyclable,True,known_test,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000003,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_100.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000004,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_101.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000005,realwaste,test,ml/data/raw/realwaste/Cardboard/Cardboard_102.jpg,Cardboard,paper_cardboard,recyclable,True,known_test,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000006,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_103.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000007,realwaste,test,ml/data/raw/realwaste/Cardboard/Cardboard_104.jpg,Cardboard,paper_cardboard,recyclable,True,known_test,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000008,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_105.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000009,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_106.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
realwaste_cardboard_000010,realwaste,train,ml/data/raw/realwaste/Cardboard/Cardboard_107.jpg,Cardboard,paper_cardboard,recyclable,True,known_train,CC BY-NC-SA 4.0,known_train_candidate,Clear mapping to paper_cardboard.
