sample_id,source_dataset,source_split,image_path,original_label,fine_label,coarse_label,is_known,usage,license_notes
trashnet_000001,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard1.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000002,trashnet,val,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard10.jpg,cardboard,paper_cardboard,recyclable,true,known_val,TrashNet dataset. Cite original TrashNet repository.
trashnet_000003,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard100.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000004,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard101.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000005,trashnet,val,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard102.jpg,cardboard,paper_cardboard,recyclable,true,known_val,TrashNet dataset. Cite original TrashNet repository.
trashnet_000006,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard103.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000007,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard104.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000008,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard105.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000009,trashnet,val,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard106.jpg,cardboard,paper_cardboard,recyclable,true,known_val,TrashNet dataset. Cite original TrashNet repository.
trashnet_000010,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard107.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000011,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard108.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000012,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard109.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000013,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard11.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000014,trashnet,test,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard110.jpg,cardboard,paper_cardboard,recyclable,true,known_test,TrashNet dataset. Cite original TrashNet repository.
trashnet_000015,trashnet,val,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard111.jpg,cardboard,paper_cardboard,recyclable,true,known_val,TrashNet dataset. Cite original TrashNet repository.
trashnet_000016,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard112.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000017,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard113.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000018,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard114.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000019,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard115.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000020,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard116.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000021,trashnet,test,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard117.jpg,cardboard,paper_cardboard,recyclable,true,known_test,TrashNet dataset. Cite original TrashNet repository.
trashnet_000022,trashnet,test,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard118.jpg,cardboard,paper_cardboard,recyclable,true,known_test,TrashNet dataset. Cite original TrashNet repository.
trashnet_000023,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard119.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000024,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard12.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000025,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard120.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000026,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard121.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000027,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard122.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000028,trashnet,val,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard123.jpg,cardboard,paper_cardboard,recyclable,true,known_val,TrashNet dataset. Cite original TrashNet repository.
trashnet_000029,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard124.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000030,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard125.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000031,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard126.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
trashnet_000032,trashnet,train,ml/data/raw/trashnet/dataset-resized/cardboard/cardboard127.jpg,cardboard,paper_cardboard,recyclable,true,known_train,TrashNet dataset. Cite original TrashNet repository.
