image_path,source_dataset,source_label,true_label,true_index,pred_label,pred_index,confidence,max_logit,energy,prob_cardboard,prob_glass,prob_metal,prob_paper,prob_plastic,is_correct,prediction_matches_source_label,uncertainty_score,probability_margin,uncertainty_band,selection_reason,human_review_status,human_observation,reviewed_label,reviewed_action,reviewer_notes,active_learning_rank
ml\data\raw\realwaste\Plastic\Plastic_744.jpg,realwaste,plastic,plastic,4,glass,1,0.2970631420612335,0.29941466450691223,-1.5132251977920532,0.2337542027235031,0.2970631420612335,0.08675636351108551,0.12363830953836441,0.25878795981407166,false,false,0.7029368579387665,0.038275182247161865,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,1
ml\data\raw\realwaste\Plastic\Plastic_132.jpg,realwaste,plastic,plastic,4,cardboard,0,0.3263241946697235,0.6367080211639404,-1.7565720081329346,0.3263241946697235,0.1754796952009201,0.004482834599912167,0.2413923591375351,0.25232091546058655,false,false,0.6736758053302765,0.07400327920913696,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,2
ml\data\raw\realwaste\Cardboard\Cardboard_250.jpg,realwaste,cardboard,cardboard,0,metal,2,0.3399125337600708,1.0234581232070923,-2.102525234222412,0.25902697443962097,0.0011798893101513386,0.3399125337600708,0.15105696022510529,0.2488236427307129,false,false,0.6600874662399292,0.08088555932044983,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,3
ml\data\raw\realwaste\Plastic\Plastic_230.jpg,realwaste,plastic,plastic,4,glass,1,0.3444453179836273,0.6963313817977905,-1.7621513605117798,0.2827368378639221,0.3444453179836273,0.1094701886177063,0.022823629900813103,0.24052400887012482,false,false,0.6555546820163727,0.0617084801197052,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,4
ml\data\raw\realwaste\Plastic\Plastic_15.jpg,realwaste,plastic,plastic,4,glass,1,0.3553982973098755,0.64637690782547,-1.6808931827545166,0.3050498366355896,0.3553982973098755,0.02895400859415531,0.0698881447315216,0.24070972204208374,false,false,0.6446017026901245,0.05034846067428589,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,5
ml\data\raw\realwaste\Plastic\Plastic_81.jpg,realwaste,plastic,plastic,4,cardboard,0,0.36246344447135925,1.339322566986084,-2.354154109954834,0.36246344447135925,0.0020110218320041895,0.30939334630966187,0.13911646604537964,0.18701580166816711,false,false,0.6375365555286407,0.05307009816169739,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,6
ml\data\raw\realwaste\Plastic\Plastic_8.jpg,realwaste,plastic,plastic,4,metal,2,0.36246833205223083,1.8007521629333496,-2.81557035446167,0.2673886716365814,0.0012051417725160718,0.36246833205223083,0.007902569137513638,0.3610352873802185,false,false,0.6375316679477692,0.001433044672012329,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,7
ml\data\raw\realwaste\Glass\Glass_107.jpg,realwaste,glass,glass,1,cardboard,0,0.36722809076309204,1.3920797109603882,-2.3938517570495605,0.36722809076309204,0.00020499355741776526,0.14943253993988037,0.27083930373191833,0.21229508519172668,false,false,0.632771909236908,0.0963887870311737,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,8
ml\data\raw\realwaste\Plastic\Plastic_465.jpg,realwaste,plastic,plastic,4,cardboard,0,0.36952927708625793,1.3398573398590088,-2.3353826999664307,0.36952927708625793,0.0019504569936543703,0.31039556860923767,0.043885134160518646,0.27423954010009766,false,false,0.6304707229137421,0.059133708477020264,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,9
ml\data\raw\realwaste\Plastic\Plastic_685.jpg,realwaste,plastic,plastic,4,cardboard,0,0.36957722902297974,2.273420810699463,-3.2688164710998535,0.36957722902297974,0.0008920900872908533,0.00057059689424932,0.348032146692276,0.28092798590660095,false,false,0.6304227709770203,0.021545082330703735,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,10
ml\data\raw\realwaste\Plastic\Plastic_784.jpg,realwaste,plastic,plastic,4,cardboard,0,0.3697977364063263,0.8883631229400635,-1.883162260055542,0.3697977364063263,0.016639860346913338,0.30950912833213806,0.2855447232723236,0.018508531153202057,false,false,0.6302022635936737,0.06028860807418823,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,11
