image_path,source_dataset,source_label,true_label,true_index,pred_label,pred_index,confidence,max_logit,energy,prob_cardboard,prob_glass,prob_metal,prob_paper,prob_plastic,is_correct,prediction_matches_source_label,uncertainty_score,probability_margin,uncertainty_band,selection_reason,human_review_status,human_observation,reviewed_label,reviewed_action,reviewer_notes,active_learning_rank
ml\data\raw\garbage_v2\metal\metal_763.jpg,garbage_v2,metal,metal,2,paper,3,0.3095189332962036,1.1130926609039307,-2.2858285903930664,0.001164523302577436,0.2710035443305969,0.2483769655227661,0.3095189332962036,0.16993607580661774,false,false,0.6904810667037964,0.03851538896560669,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,1
ml\data\raw\garbage_v2\metal\metal_317.jpg,garbage_v2,metal,metal,2,paper,3,0.33486440777778625,0.5124661922454834,-1.60649573802948,0.3122555613517761,0.1434798389673233,0.07564155012369156,0.33486440777778625,0.13375867903232574,false,false,0.6651355922222137,0.022608846426010132,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,2
ml\data\raw\garbage_v2\cardboard\cardboard_1374.jpg,garbage_v2,cardboard,cardboard,0,metal,2,0.3351207375526428,1.0312542915344238,-2.124518871307373,0.27657389640808105,0.003367870580404997,0.3351207375526428,0.25021883845329285,0.134718656539917,false,false,0.6648792624473572,0.05854684114456177,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,3
ml\data\raw\garbage_v2\metal\metal_309.jpg,garbage_v2,metal,metal,2,metal,2,0.3388538658618927,0.6412780284881592,-1.7234643697738647,0.1938479244709015,0.20594120025634766,0.3388538658618927,0.14171160757541656,0.11964542418718338,true,true,0.6611461341381073,0.13291266560554504,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,4
ml\data\raw\garbage_v2\glass\glass_1050.jpg,garbage_v2,glass,glass,1,plastic,4,0.3392752707004547,1.1927845478057861,-2.273728132247925,0.303996741771698,0.023800937458872795,0.3295075595378876,0.0034194926265627146,0.3392752707004547,false,false,0.6607247292995453,0.009767711162567139,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,5
ml\data\raw\garbage_v2\plastic\plastic_1308.jpg,garbage_v2,plastic,plastic,4,plastic,4,0.34599778056144714,0.4719471335411072,-1.5332701206207275,0.2422640174627304,0.1479274183511734,0.16339866816997528,0.10041210800409317,0.34599778056144714,true,true,0.6540022194385529,0.10373376309871674,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,6
ml\data\raw\garbage_v2\paper\paper_68.jpg,garbage_v2,paper,paper,3,metal,2,0.3477906584739685,1.1736587285995483,-2.2298130989074707,0.0031383943278342485,0.13484904170036316,0.3477906584739685,0.3135818839073181,0.2006399780511856,false,false,0.6522093415260315,0.03420877456665039,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,7
ml\data\raw\garbage_v2\plastic\plastic_573.jpg,garbage_v2,plastic,plastic,4,plastic,4,0.35211479663848877,1.6053848266601562,-2.6491827964782715,0.3320070803165436,0.0024548377841711044,0.001847022445872426,0.3115762770175934,0.35211479663848877,true,true,0.6478852033615112,0.02010771632194519,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,8
ml\data\raw\garbage_v2\plastic\plastic_1404.jpg,garbage_v2,plastic,plastic,4,plastic,4,0.35277611017227173,1.1547054052352905,-2.196627140045166,0.32965266704559326,0.07191114127635956,0.24318763613700867,0.0024724258109927177,0.35277611017227173,true,true,0.6472238898277283,0.023123443126678467,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,9
ml\data\raw\garbage_v2\paper\paper_875.jpg,garbage_v2,paper,paper,3,cardboard,0,0.3553859293460846,0.6967434287071228,-1.7312943935394287,0.3553859293460846,0.3236706554889679,0.11757981032133102,0.07923635840415955,0.12412720173597336,false,false,0.6446140706539154,0.0317152738571167,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,10
ml\data\raw\garbage_v2\plastic\plastic_974.jpg,garbage_v2,plastic,plastic,4,metal,2,0.3610844314098358,0.9146465063095093,-1.9332900047302246,0.253296822309494,0.04601416364312172,0.3610844314098358,0.011195264756679535,0.3284093141555786,false,false,0.6389155685901642,0.0326751172542572,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,11
ml\data\raw\garbage_v2\metal\metal_656.jpg,garbage_v2,metal,metal,2,cardboard,0,0.37451303005218506,1.3686578273773193,-2.3507864475250244,0.37451303005218506,0.0028382600285112858,0.2689153552055359,0.30361419916152954,0.050119150429964066,false,false,0.6254869699478149,0.07089883089065552,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,12
ml\data\raw\garbage_v2\glass\glass_1312.jpg,garbage_v2,glass,glass,1,glass,1,0.3766210079193115,1.4882127046585083,-2.464728593826294,0.26648402214050293,0.3766210079193115,0.013489400036633015,0.00391843356192112,0.33948710560798645,true,true,0.6233789920806885,0.03713390231132507,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,13
ml\data\raw\garbage_v2\metal\metal_751.jpg,garbage_v2,metal,metal,2,metal,2,0.38060468435287476,1.8773679733276367,-2.8433618545532227,0.0012229869607836008,0.3379216492176056,0.38060468435287476,0.0043729860335588455,0.2758777141571045,true,true,0.6193953156471252,0.042683035135269165,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,14
ml\data\raw\garbage_v2\metal\metal_524.jpg,garbage_v2,metal,metal,2,paper,3,0.382342129945755,1.2209070920944214,-2.1823463439941406,0.013335787691175938,0.018665775656700134,0.37649378180503845,0.382342129945755,0.20916251838207245,false,false,0.617657870054245,0.005848348140716553,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,15
ml\data\raw\garbage_v2\glass\glass_1394.jpg,garbage_v2,glass,glass,1,plastic,4,0.3909616768360138,2.134002685546875,-3.073148488998413,0.38082650303840637,0.2185060679912567,0.009459932334721088,0.00024582730839028955,0.3909616768360138,false,false,0.6090383231639862,0.010135173797607422,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,16
ml\data\raw\garbage_v2\metal\metal_7.jpg,garbage_v2,metal,metal,2,metal,2,0.39186805486679077,1.390836477279663,-2.3276665210723877,0.16659237444400787,0.050658758729696274,0.39186805486679077,0.002795657841488719,0.38808512687683105,true,true,0.6081319451332092,0.003782927989959717,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,17
ml\data\raw\garbage_v2\paper\paper_180.jpg,garbage_v2,paper,paper,3,metal,2,0.39476779103279114,1.7280704975128174,-2.6575279235839844,0.22183412313461304,0.001967557007446885,0.39476779103279114,0.35844144225120544,0.02298908121883869,false,false,0.6052322089672089,0.03632634878158569,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,18
ml\data\raw\garbage_v2\paper\paper_1278.jpg,garbage_v2,paper,paper,3,cardboard,0,0.395931214094162,1.1338887214660645,-2.06040358543396,0.395931214094162,0.023538002744317055,0.38243454694747925,0.16412292420864105,0.033973392099142075,false,false,0.604068785905838,0.01349666714668274,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,19
ml\data\raw\garbage_v2\plastic\plastic_954.jpg,garbage_v2,plastic,plastic,4,plastic,4,0.398122102022171,2.000790596008301,-2.9217872619628906,0.008629311807453632,0.0007023925427347422,0.31033432483673096,0.28221186995506287,0.398122102022171,true,true,0.601877897977829,0.08778777718544006,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,20
ml\data\raw\garbage_v2\cardboard\cardboard_1013.jpg,garbage_v2,cardboard,cardboard,0,plastic,4,0.4022943079471588,2.750279426574707,-3.660850763320923,0.332025408744812,5.518321631825529e-05,0.0007742154994048178,0.264850914478302,0.4022943079471588,false,false,0.5977056920528412,0.0702688992023468,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,21
ml\data\raw\garbage_v2\glass\glass_615.jpg,garbage_v2,glass,glass,1,glass,1,0.4040977656841278,2.0815329551696777,-2.987631320953369,0.0002495509397704154,0.4040977656841278,0.21450549364089966,0.37952640652656555,0.0016208660090342164,true,true,0.5959022343158722,0.024571359157562256,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,22
ml\data\raw\garbage_v2\paper\paper_213.jpg,garbage_v2,paper,paper,3,paper,3,0.40510302782058716,2.036987543106079,-2.940601348876953,9.635551396058872e-05,0.04197022318840027,0.21477100253105164,0.40510302782058716,0.3380593955516815,true,true,0.5948969721794128,0.06704363226890564,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,23
ml\data\raw\garbage_v2\glass\glass_715.jpg,garbage_v2,glass,glass,1,glass,1,0.40942347049713135,0.8709750175476074,-1.7639802694320679,0.08953522145748138,0.40942347049713135,0.2783362567424774,0.046380773186683655,0.1763242781162262,true,true,0.5905765295028687,0.13108721375465393,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,24
ml\data\raw\garbage_v2\cardboard\cardboard_703.jpg,garbage_v2,cardboard,cardboard,0,paper,3,0.4113538861274719,0.8584149479866028,-1.7467163801193237,0.1529131680727005,0.016937002539634705,0.09822915494441986,0.4113538861274719,0.3205668032169342,false,false,0.5886461138725281,0.09078708291053772,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,25
ml\data\raw\garbage_v2\cardboard\cardboard_722.jpg,garbage_v2,cardboard,cardboard,0,cardboard,0,0.41425058245658875,2.3398866653442383,-3.2211709022521973,0.41425058245658875,7.091274164849892e-05,0.20051370561122894,0.38235992193222046,0.0028048979584127665,true,true,0.5857494175434113,0.031890660524368286,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,26
ml\data\raw\garbage_v2\glass\glass_1563.jpg,garbage_v2,glass,glass,1,metal,2,0.41752779483795166,1.8630374670028687,-2.7364416122436523,0.00282233371399343,0.15929178893566132,0.41752779483795166,0.013004706241190434,0.40735337138175964,false,false,0.5824722051620483,0.010174423456192017,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,27
ml\data\raw\garbage_v2\paper\paper_1321.jpg,garbage_v2,paper,paper,3,paper,3,0.41780614852905273,1.506909966468811,-2.379647731781006,0.39783090353012085,0.016566762700676918,0.002372713526710868,0.41780614852905273,0.1654234677553177,true,true,0.5821938514709473,0.019975244998931885,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,28
ml\data\raw\garbage_v2\paper\paper_46.jpg,garbage_v2,paper,paper,3,plastic,4,0.4200536012649536,1.8160854578018188,-2.6834583282470703,0.007097563706338406,0.0012616607127711177,0.22897972166538239,0.34260743856430054,0.4200536012649536,false,false,0.5799463987350464,0.07744616270065308,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,29
ml\data\raw\garbage_v2\cardboard\cardboard_1021.jpg,garbage_v2,cardboard,cardboard,0,metal,2,0.421225905418396,0.7267955541610718,-1.591381549835205,0.1528465449810028,0.12739098072052002,0.421225905418396,0.060969870537519455,0.23756662011146545,false,false,0.578774094581604,0.18365928530693054,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,30
ml\data\raw\garbage_v2\metal\metal_481.jpg,garbage_v2,metal,metal,2,plastic,4,0.42418861389160156,1.3992761373519897,-2.2568531036376953,0.012668769806623459,0.017790433019399643,0.377027302980423,0.16832490265369415,0.42418861389160156,false,false,0.5758113861083984,0.04716131091117859,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,31
ml\data\raw\garbage_v2\cardboard\cardboard_1133.jpg,garbage_v2,cardboard,cardboard,0,cardboard,0,0.42419466376304626,1.11129891872406,-1.9688618183135986,0.42419466376304626,0.012448633089661598,0.17783498764038086,0.35526394844055176,0.030257796868681908,true,true,0.5758053362369537,0.0689307153224945,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,32
ml\data\raw\garbage_v2\cardboard\cardboard_800.jpg,garbage_v2,cardboard,cardboard,0,metal,2,0.4271375834941864,2.2931268215179443,-3.1437759399414062,0.31419622898101807,4.4192696805112064e-05,0.4271375834941864,0.24864260852336884,0.009979375638067722,false,false,0.5728624165058136,0.11294135451316833,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,33
ml\data\raw\garbage_v2\cardboard\cardboard_437.jpg,garbage_v2,cardboard,cardboard,0,plastic,4,0.4272911548614502,2.2656497955322266,-3.1159393787384033,0.30970504879951477,0.0002013699704548344,0.2593509554862976,0.0034515319857746363,0.4272911548614502,false,false,0.5727088451385498,0.11758610606193542,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,34
ml\data\raw\garbage_v2\cardboard\cardboard_1308.jpg,garbage_v2,cardboard,cardboard,0,cardboard,0,0.4302671551704407,0.9696545004844666,-1.8130035400390625,0.4302671551704407,0.022768836468458176,0.3756314814090729,0.09309770911931992,0.07823488116264343,true,true,0.5697328448295593,0.0546356737613678,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,35
ml\data\raw\garbage_v2\cardboard\cardboard_673.jpg,garbage_v2,cardboard,cardboard,0,plastic,4,0.4330882728099823,1.4426933526992798,-2.2795071601867676,0.09269314259290695,0.0012073018588125706,0.10495880246162415,0.3680524528026581,0.4330882728099823,false,false,0.5669117271900177,0.06503582000732422,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,36
ml\data\raw\garbage_v2\cardboard\cardboard_23.jpg,garbage_v2,cardboard,cardboard,0,plastic,4,0.43351835012435913,1.5030715465545654,-2.338892698287964,0.15308083593845367,0.10493681579828262,0.3075966238975525,0.000867329363245517,0.43351835012435913,false,false,0.5664816498756409,0.12592172622680664,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,37
ml\data\raw\garbage_v2\glass\glass_949.jpg,garbage_v2,glass,glass,1,plastic,4,0.4368723928928375,1.157962679862976,-1.986076831817627,0.06227394938468933,0.3536606431007385,0.1176467090845108,0.029546305537223816,0.4368723928928375,false,false,0.5631276071071625,0.083211749792099,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,38
ml\data\raw\garbage_v2\plastic\plastic_1416.jpg,garbage_v2,plastic,plastic,4,cardboard,0,0.43691202998161316,1.7052050828933716,-2.5332283973693848,0.43691202998161316,0.04961565136909485,0.0005449132877402008,0.19786368310451508,0.3150637745857239,false,false,0.5630879700183868,0.12184825539588928,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,39
ml\data\raw\garbage_v2\cardboard\cardboard_589.jpg,garbage_v2,cardboard,cardboard,0,cardboard,0,0.4384508430957794,3.0087974071502686,-3.8333048820495605,0.4384508430957794,0.00014865111734252423,0.00015668738342355937,0.28846466541290283,0.27277910709381104,true,true,0.5615491569042206,0.1499861776828766,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,40
