image_path,source_dataset,source_label,true_label,true_index,pred_label,pred_index,confidence,max_logit,energy,prob_cardboard,prob_glass,prob_metal,prob_paper,prob_plastic,is_correct,prediction_matches_source_label,uncertainty_score,probability_margin,uncertainty_band,selection_reason,human_review_status,human_observation,reviewed_label,reviewed_action,reviewer_notes,active_learning_rank
ml\data\raw\trashbox\plastic\plastic 1345.jpg,trashbox,plastic,plastic,4,glass,1,0.25341737270355225,0.14802654087543488,-1.5207439661026,0.17698243260383606,0.25341737270355225,0.16881729662418365,0.2211475670337677,0.17963537573814392,false,false,0.7465826272964478,0.032269805669784546,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,1
ml\data\raw\trashbox\plastic\plastic 43.jpg,trashbox,plastic,plastic,4,metal,2,0.2768397331237793,0.3543042242527008,-1.6386207342147827,0.17053143680095673,0.15341591835021973,0.2768397331237793,0.1761144995689392,0.22309841215610504,false,false,0.7231602668762207,0.053741320967674255,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,2
ml\data\raw\trashbox\paper\paper 740.jpg,trashbox,paper,paper,3,glass,1,0.2885802686214447,0.4123140573501587,-1.6550960540771484,0.11605044454336166,0.2885802686214447,0.2252080738544464,0.27474480867385864,0.095416359603405,false,false,0.7114197313785553,0.01383545994758606,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,3
ml\data\raw\trashbox\glass\glass 852.jpg,trashbox,glass,glass,1,cardboard,0,0.3055724799633026,1.6023242473602295,-2.7878925800323486,0.3055724799633026,0.2837269604206085,7.35706853447482e-05,0.25010907649993896,0.16051790118217468,false,false,0.6944275200366974,0.021845519542694092,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,4
ml\data\raw\trashbox\plastic\plastic 1905.jpg,trashbox,plastic,plastic,4,metal,2,0.3212661147117615,0.8346605896949768,-1.9701459407806396,0.014929256401956081,0.1849702149629593,0.3212661147117615,0.1684553176164627,0.31037917733192444,false,false,0.6787338852882385,0.010886937379837036,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,5
ml\data\raw\trashbox\plastic\plastic 2660.jpg,trashbox,plastic,plastic,4,paper,3,0.32310622930526733,0.6137285232543945,-1.7435026168823242,0.07296796888113022,0.1250256597995758,0.15862682461738586,0.32310622930526733,0.3202733099460602,false,false,0.6768937706947327,0.0028329193592071533,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,6
ml\data\raw\trashbox\plastic\plastic 456.jpg,trashbox,plastic,plastic,4,glass,1,0.32737603783607483,0.3863750398159027,-1.5030208826065063,0.08061762899160385,0.32737603783607483,0.1688474714756012,0.1325596570968628,0.29059916734695435,false,false,0.6726239621639252,0.03677687048912048,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,7
ml\data\raw\trashbox\glass\glass 1855.jpg,trashbox,glass,glass,1,cardboard,0,0.32825034856796265,0.4951559901237488,-1.6091346740722656,0.32825034856796265,0.20460538566112518,0.12308076024055481,0.07235653698444366,0.2717069685459137,false,false,0.6717496514320374,0.05654338002204895,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,8
ml\data\raw\trashbox\paper\paper 1982.jpg,trashbox,paper,paper,3,metal,2,0.3285084068775177,0.4170074760913849,-1.5302002429962158,0.11675316095352173,0.19787102937698364,0.3285084068775177,0.22481030225753784,0.1320570558309555,false,false,0.6714915931224823,0.10369810461997986,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,9
ml\data\raw\trashbox\metal\metal 1687.jpg,trashbox,metal,metal,2,paper,3,0.33102279901504517,1.0796977281570435,-2.1852657794952393,0.16330265998840332,0.006215348839759827,0.28860291838645935,0.33102279901504517,0.21085625886917114,false,false,0.6689772009849548,0.042419880628585815,very_high_uncertainty,low_confidence_candidate,pending_review,,,,,10
