source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes,split,true_label,pred_label,pred_index,confidence,max_logit,energy,prob_cardboard,prob_glass,prob_metal,prob_paper,prob_plastic,mahalanobis_min_distance,mahalanobis_knownness,mahalanobis_nearest_class
trashnet,ml/data/raw/trashnet/paper/paper189.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,1.0,16.531211853027344,-16.531211853027344,1.1164188063600422e-12,2.6028984523307486e-10,1.4193979325227701e-08,1.0,3.963176453680717e-09,1276.332275390625,-1276.332275390625,paper
realwaste,ml/data/raw/realwaste/Plastic/Plastic_366.jpg,plastic,plastic,known,true,Known 5-class label if present,known_val,plastic,plastic,4,0.9996657371520996,7.904289245605469,-7.904623508453369,0.0002180765150114894,1.5597528545185924e-05,9.519600280327722e-05,5.458147370518418e-06,0.9996657371520996,555.5906982421875,-555.5906982421875,plastic
trashnet,ml/data/raw/trashnet/paper/paper560.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.8984294533729553,4.296151638031006,-4.403258800506592,0.09456712752580643,0.0015343324048444629,0.0002470743202138692,0.8984294533729553,0.0052220458164811134,422.7498779296875,-422.7498779296875,paper
trashnet,ml/data/raw/trashnet/paper/paper302.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9957220554351807,5.89940071105957,-5.903687953948975,0.0016663416754454374,0.0009352617780677974,0.0016257715178653598,0.9957220554351807,5.062036507297307e-05,885.953857421875,-885.953857421875,paper
trashbox,ml/data/raw/trashbox/glass/glass 1141.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9999967813491821,15.478486061096191,-15.47848892211914,1.65986061700929e-11,0.9999967813491821,1.0448732989942755e-09,2.0436739106566293e-11,3.1695108191343024e-06,1611.852294921875,-1611.852294921875,glass
realwaste,ml/data/raw/realwaste/Plastic/Plastic_593.jpg,plastic,plastic,known,true,Known 5-class label if present,known_val,plastic,plastic,4,0.9999995231628418,12.957610130310059,-12.957610130310059,6.51093401415892e-08,2.413213451291085e-07,1.5426959976139187e-07,1.8969983361927234e-09,0.9999995231628418,1399.91015625,-1399.91015625,plastic
realwaste,ml/data/raw/realwaste/Plastic/Plastic_557.jpg,plastic,plastic,known,true,Known 5-class label if present,known_val,plastic,plastic,4,0.9948295950889587,6.799350738525391,-6.804534435272217,2.505848533473909e-05,0.005003879312425852,0.00011943294521188363,2.1989411834510975e-05,0.9948295950889587,705.4901733398438,-705.4901733398438,plastic
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1973.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.5237962007522583,2.8272624015808105,-3.4739151000976562,0.5237962007522583,0.0009203646332025528,0.020533736795186996,0.004522037226706743,0.45022764801979065,1695.2960205078125,-1695.2960205078125,plastic
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1321.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,1.0,15.918089866638184,-15.918089866638184,3.975386131394032e-10,1.0,1.1007568190279926e-09,4.428099553699383e-11,1.3165699641604078e-08,1289.2510986328125,-1289.2510986328125,glass
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1147.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999995231628418,13.921098709106445,-13.921098709106445,0.9999995231628418,2.6587048118642542e-09,2.0356947239008605e-09,4.855463657804648e-07,2.2687343115279646e-09,924.196533203125,-924.196533203125,cardboard
trashbox,ml/data/raw/trashbox/glass/glass 2381.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,1.0,20.213787078857422,-20.213787078857422,1.2330860074336036e-12,1.0,3.0062638576439094e-12,8.968393315858005e-15,1.523327575192468e-10,1861.013671875,-1861.013671875,glass
trashbox,ml/data/raw/trashbox/metal/metal 2041.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,0.9999998807907104,16.898000717163086,-16.898000717163086,8.733570507415966e-13,1.2218687173159992e-09,0.9999998807907104,5.015425574850241e-11,8.399558737437474e-08,1329.37255859375,-1329.37255859375,metal
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1708.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.993594229221344,6.964995384216309,-6.971421718597412,2.553772674218635e-06,0.993594229221344,8.539437112631276e-05,0.0004670429334510118,0.005850734189152718,926.6016845703125,-926.6016845703125,glass
realwaste,ml/data/raw/realwaste/Metal/Metal_96.jpg,metal,metal,known,true,Known 5-class label if present,known_val,metal,metal,2,0.9999960660934448,13.620330810546875,-13.62033462524414,3.969657380586966e-10,3.458636266273629e-09,0.9999960660934448,1.9364277648037387e-07,3.6771464237972395e-06,1040.8216552734375,-1040.8216552734375,metal
