split,score_method,threshold,coverage,risk,accepted_known_rows,total_known_rows
known_val,confidence,0.303926557302475,1.0,0.07696810067310511,3417,3417
known_val,confidence,0.5030308485031127,0.9897570968685981,0.07007687758722647,3382,3417
known_val,confidence,0.5444697141647339,0.9800995024875622,0.06748283069573002,3349,3417
known_val,confidence,0.5879781341552734,0.9698565993561604,0.06517803258901633,3314,3417
known_val,confidence,0.6218610882759095,0.9599063505999414,0.05914634146341469,3280,3417
known_val,confidence,0.6777298450469971,0.9499561018437226,0.05483672211953172,3246,3417
known_val,confidence,0.7223295545578002,0.9400058530875036,0.05012453300124531,3212,3417
known_val,confidence,0.7649338984489441,0.9297629499561019,0.04627006610009443,3177,3417
known_val,confidence,0.8008409476280213,0.9198127011998829,0.0435889277760102,3143,3417
known_val,confidence,0.831823182106018,0.909862452443664,0.039884207140559624,3109,3417
known_val,confidence,0.8596666693687439,0.8999122036874452,0.039024390243902474,3075,3417
known_val,confidence,0.8890104055404663,0.8899619549312262,0.03617231173955937,3041,3417
known_val,confidence,0.9067017889022827,0.8800117061750073,0.034253408713002975,3007,3417
known_val,confidence,0.9211127066612244,0.8697688030436055,0.030955585464333746,2972,3417
known_val,confidence,0.9380887627601624,0.8598185542873866,0.029271613342409797,2938,3417
known_val,confidence,0.9516211986541748,0.8498683055311677,0.028236914600551,2904,3417
known_val,confidence,0.9610227990150452,0.8399180567749488,0.025783972125435595,2870,3417
known_val,confidence,0.9676984095573425,0.8299678080187298,0.02538787023977429,2836,3417
known_val,confidence,0.9727285385131836,0.820017559262511,0.023911491791577477,2802,3417
known_val,confidence,0.9771904063224792,0.8097746561311091,0.02132273220093961,2767,3417
known_val,confidence,0.980884051322937,0.7998244073748902,0.020490303695572587,2733,3417
known_val,confidence,0.9840000820159912,0.7898741586186714,0.018895887365691033,2699,3417
known_val,confidence,0.9869484090805054,0.7799239098624524,0.01763602251407126,2665,3417
known_val,confidence,0.9892313647270202,0.7699736611062336,0.01672367920942608,2631,3417
known_val,confidence,0.991420304775238,0.7600234123500146,0.01578744705429347,2597,3417
known_val,confidence,0.9926840662956238,0.7500731635937957,0.014826375341396747,2563,3417
known_val,confidence,0.9938354873657227,0.7398302604623939,0.014240506329113889,2528,3417
known_val,confidence,0.9946335625648498,0.729880011706175,0.01323175621491579,2494,3417
known_val,confidence,0.995499095916748,0.7199297629499561,0.01178861788617891,2460,3417
known_val,confidence,0.9961715030670166,0.7099795141937372,0.01154163231657046,2426,3417
known_val,confidence,0.9967842817306518,0.7000292654375183,0.010033444816053505,2392,3417
known_val,confidence,0.9973583507537842,0.6900790166812993,0.008057675996607339,2358,3417
known_val,confidence,0.9979366636276246,0.6798361135498976,0.00774860094705121,2323,3417
known_val,confidence,0.9983474898338318,0.6698858647936786,0.007863695937090465,2289,3417
known_val,confidence,0.9986116027832032,0.6599356160374598,0.007538802660753907,2255,3417
known_val,confidence,0.9988130331039429,0.6499853672812409,0.007654209815398438,2221,3417
known_val,confidence,0.9989684677124023,0.6400351185250219,0.006858710562414272,2187,3417
known_val,confidence,0.9991150021553039,0.6300848697688031,0.006502554575011588,2153,3417
known_val,confidence,0.9992510628700256,0.6198419666374012,0.006137865911236995,2118,3417
known_val,confidence,0.999380784034729,0.6098917178811823,0.0057581573896353655,2084,3417
known_val,confidence,0.9994547486305236,0.5999414691249634,0.005853658536585371,2050,3417
known_val,confidence,0.9995627474784851,0.5899912203687445,0.004960317460317443,2016,3417
known_val,confidence,0.9996243238449096,0.5800409716125257,0.005045408678102881,1982,3417
known_val,confidence,0.999685354232788,0.5700907228563067,0.005133470225872738,1948,3417
known_val,confidence,0.9997179484367371,0.5598478197249049,0.005227391531625769,1913,3417
known_val,confidence,0.9997538208961487,0.549897570968686,0.0053219797764768595,1879,3417
known_val,confidence,0.9997817540168762,0.5399473222124671,0.005420054200542035,1845,3417
known_val,confidence,0.9998119807243347,0.5299970734562481,0.004969630038652695,1811,3417
known_val,confidence,0.9998459815979004,0.5203394790752122,0.005061867266591635,1778,3417
known_val,confidence,0.99986656665802,0.5100965759438104,0.004589787722317884,1743,3417
known_val,confidence,0.9998860359191895,0.5001463271875914,0.004681100058513743,1709,3417
known_val,confidence,0.9999062538146972,0.48990342405618964,0.004778972520907976,1674,3417
known_val,confidence,0.9999192047119141,0.4799531752999707,0.004878048780487809,1640,3417
known_val,confidence,0.9999279308319092,0.4700029265437518,0.004358655043586568,1606,3417
known_val,confidence,0.9999397897720337,0.46005267778753295,0.004452926208651453,1572,3417
known_val,confidence,0.9999500513076782,0.4506877377816798,0.004545454545454519,1540,3417
known_val,confidence,0.9999555158615112,0.4401521802750951,0.003989361702127714,1504,3417
known_val,confidence,0.999962477684021,0.4299092771436933,0.003403675970047648,1469,3417
known_val,confidence,0.9999688339233398,0.4199590283874744,0.0034843205574912606,1435,3417
known_val,confidence,0.9999740743637084,0.4100087796312555,0.0035688793718772205,1401,3417
known_val,confidence,0.999977421760559,0.40005853087503657,0.002926115581565525,1367,3417
known_val,confidence,0.9999803018569946,0.39010828211881765,0.0030007501875468634,1333,3417
known_val,confidence,0.9999833011627197,0.3801580333625988,0.0015396458814472824,1299,3417
known_val,confidence,0.9999853467941284,0.36991513023119693,0.0007911392405063333,1264,3417
known_val,confidence,0.9999874830245972,0.36025753585016096,0.0008123476848090894,1231,3417
known_val,confidence,0.9999890327453613,0.3514779045946737,0.0008326394671107629,1201,3417
known_val,confidence,0.9999910593032837,0.34064969271290607,0.0008591065292096189,1164,3417
known_val,confidence,0.9999922513961792,0.33099209833187004,0.0008841732979664174,1131,3417
